,Company,Industry,Classified Industry,Country
93,ams,,"Transportation, Logistics & Automotive",Philippines
94,Amtec Global Solutions Inc.,BPO,Professional Services,Philippines
95,Amzn Asia-PacificResources SGP,Transportation/Logistics,"Transportation, Logistics & Automotive",Singapore
96,Analog Devices,,Information Technology & Services,Philippines
97,ANCHOR GLOBAL CONSULTING PTE. LTD.,IT consulting,Professional Services,Singapore
98,Anchor Search Group,,Professional Services,Indonesia
99,ANGLO AMERICAN MARKETING LIMITED SINGAPORE BRANCH,,Materials,Singapore
100,Anugrah Indo Mandiri PT,,Consumer Retail,Indonesia
101,"ANZ Global Services and Operations (Manila), Inc",,"Banking, Finance & Insurance",Philippines
102,Aon Corporation,Insurance,"Banking, Finance & Insurance",Singapore
103,APAYLATER FINANCIALS PTE. LTD.,,"Banking, Finance & Insurance",Singapore
104,APEX (Alliances Pursuing Excellence - an affiliate of FWD-SGA),"Financial Services, Real Estate, Coaching, Sales and Marketing","Banking, Finance & Insurance",Philippines
105,Appier,,Information Technology & Services,Indonesia
106,Apple,,Information Technology & Services,Singapore
107,Applied Materials Inc.,,Materials,Singapore
108,Applied Materials South East Asia Pte Ltd,Manufacturing,Materials,Singapore
109,Aramco,,Energy,Singapore
110,Arbor & Troy,,Consumer Retail,Indonesia
111,Arcadis,,Industrials & Capital Goods,Philippines
112,Arch Global Services,,Professional Services,Philippines
113,ARCSTONE PTE. LTD.,Information Technology,Information Technology & Services,Singapore
114,"Arenade Solutions, Inc.",,Professional Services,Philippines
115,ARETE M PTE. LTD.,,Information Technology & Services,Singapore
116,"argomall, Inc.",,Information Technology & Services,Philippines
117,ARISTON SERVICES PTE. LTD.,,Information Technology & Services,Singapore
118,Armscor Global Shared Services Inc.,,Professional Services,Philippines
119,Artefact,Business Services,Professional Services,Singapore
120,ARTEFACT CONSULTING SINGAPORE PTE. LTD.,Marketing,Professional Services,Singapore
121,Aryan Solutions Pte Ltd,Computer Software,Information Technology & Services,Singapore
122,ARYAN SOLUTIONS PTE. LTD.,,Information Technology & Services,Singapore
123,AS White Global,,Professional Services,Philippines
124,ASCENT PRO,,Professional Services,Philippines
125,Ascentis,Information Technology,Information Technology & Services,Singapore
126,Asetku,Financial Services,"Banking, Finance & Insurance",Indonesia
127,ASIA FUSION TECHNOLOGY PTE. LTD.,,Information Technology & Services,Singapore
128,Asia Premier One Source Inc.,Business Process Outsourcing,Professional Services,Philippines
129,Asia pro Multi-Purpose Cooperative,,"Banking, Finance & Insurance",Philippines
