Word,Count
degree,605
bachelors,290
bachelor,256
masters,31
diploma,23
phd,18
bs,18
university,16
graduate,13
master,13
ms,6
msc,4
ba,4
advanced,4
undergraduate,3
bachelorsuniversity,3
or,3
of,3
with,2
majoring,2
education,2
barat,2
,2
accounting,2
college,2
bachelormaster,2
bachelordiploma,2
at,1
least,1
bachelordegree,1
engineering,1
business,1
level,1
bachelorgraduate,1
bachelormasters,1
in,1
diplomas,1
